title	revenue	budget	genres	release_date	runtime	vote_average	vote_count
Team America: World Police	50907422	32000000	[{"id": 10402, "name": "Music"}, {"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}]	2004-10-10	98	6.6	660
Texas Chainsaw 3D	47241945	20000000	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	2013-01-03	92	5.3	465
Copycat	0	0	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	1995-10-27	124	6.4	194
Scary Movie 5	78378744	20000000	[{"id": 35, "name": "Comedy"}]	2013-04-11	86	4.6	793
Paint Your Wagon	31678778	20000000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 37, "name": "Western"}, {"id": 10402, "name": "Music"}]	1969-10-15	158	6.2	63
Milk	54586584	20000000	[{"id": 36, "name": "History"}, {"id": 18, "name": "Drama"}]	2008-11-26	128	7.1	612
Risen	46069568	20000000	[{"id": 28, "name": "Action"}]	2016-02-19	107	5.7	295
Ghost Ship	68349884	35000000	[{"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2002-10-25	91	5.3	531
A Very Harold & Kumar Christmas	35387212	19000000	[{"id": 35, "name": "Comedy"}]	2011-11-04	108	6	328
Wild Things	67200000	20000000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}]	1998-03-20	108	6.3	444
The Stepfather	0	0	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}, {"id": 9648, "name": "Mystery"}]	2009-10-16	101	5.4	167
The Debt	45636368	20000000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2010-04-11	113	6.3	257
High Fidelity	47126295	30000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}, {"id": 10402, "name": "Music"}]	2000-03-17	113	7	628
One Missed Call	0	20000000	[{"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2008-01-04	87	4.7	171
Eye for an Eye	0	20000000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	1996-01-12	101	5.8	63
The Bank Job	64822796	20000000	[{"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	2008-02-28	112	6.6	697
Eternal Sunshine of the Spotless Mind	72258126	20000000	[{"id": 878, "name": "Science Fiction"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2004-03-19	108	7.9	3652
You Again	32005248	20000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2010-09-24	105	6	368
Street Kings	65569869	20000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2008-04-10	109	6.3	363
The World's End	46089287	20000000	[{"id": 35, "name": "Comedy"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2013-07-18	109	6.7	1778
Nancy Drew	0	0	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 80, "name": "Crime"}, {"id": 10751, "name": "Family"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2007-06-15	99	5.8	143
Daybreakers	51416464	20000000	[{"id": 14, "name": "Fantasy"}, {"id": 27, "name": "Horror"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2009-01-06	98	6	634
She's Out of My League	49779728	20000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2010-03-11	104	5.9	525
Monte Carlo	17425000	20000000	[{"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2011-07-01	109	6	593
Stay Alive	27105095	9000000	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	2006-03-24	100	5.3	155
Quigley Down Under	0	0	[{"id": 10749, "name": "Romance"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 37, "name": "Western"}, {"id": 18, "name": "Drama"}]	1990-10-17	119	6.5	119
Alpha and Omega	39300000	20000000	[{"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}]	2010-09-17	88	5.3	124
The Covenant	37597471	20000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 27, "name": "Horror"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2006-09-08	97	5.2	288
Stick It	0	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2006-04-21	105	6.3	148
Shorts	28972508	40000000	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2009-08-21	89	5.1	44
To Die For	21284514	20000000	[{"id": 14, "name": "Fantasy"}, {"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}]	1995-05-20	106	6.7	175
Nerve	83707310	20000000	[{"id": 9648, "name": "Mystery"}, {"id": 12, "name": "Adventure"}, {"id": 80, "name": "Crime"}]	2016-07-27	96	7.1	2181
Appaloosa	20211394	20000000	[{"id": 18, "name": "Drama"}, {"id": 37, "name": "Western"}, {"id": 80, "name": "Crime"}]	2008-09-12	115	6.3	299
Vampires	0	20000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 14, "name": "Fantasy"}, {"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	1998-04-15	108	5.8	255
Psycho	32000000	806948	[{"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	1960-06-16	109	8.2	2320
My Best Friend's Girl	36620508	20000000	[{"id": 10749, "name": "Romance"}, {"id": 35, "name": "Comedy"}]	2008-09-19	101	5.4	220
Endless Love	34077920	20000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2014-02-12	103	6.7	542
Georgia Rule	0	20000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2007-05-11	113	5.6	130
Under the Rainbow	2297493	20000000	[{"id": 35, "name": "Comedy"}]	1981-07-31	98	4.9	7
Ladyhawke	18432000	20000000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 14, "name": "Fantasy"}, {"id": 10749, "name": "Romance"}]	1985-03-27	121	6.8	260
Simon Birch	18253415	20000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}]	1998-09-11	114	6.5	52
Reign Over Me	22222308	20000000	[{"id": 18, "name": "Drama"}]	2007-03-23	124	7.1	334
Into the Wild	56255142	15000000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}]	2007-09-11	148	7.8	3045
School for Scoundrels	17807569	20000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2006-09-29	100	5.6	111
Silent Hill: Revelation 3D	52302796	20000000	[{"id": 53, "name": "Thriller"}, {"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}]	2012-10-10	94	5	432
From Dusk Till Dawn	25836616	19000000	[{"id": 27, "name": "Horror"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	1996-01-19	108	6.9	1603
Pooh's Heffalump Movie	0	0	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2005-02-11	68	6.4	88
Home for the Holidays	17519169	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	1995-11-02	103	6.3	39
Kung Fu Hustle	100914445	20000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 14, "name": "Fantasy"}]	2004-02-10	99	7.2	831
The Country Bears	0	35000000	[{"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2002-07-26	88	4.3	20
The Kite Runner	73276047	20000000	[{"id": 18, "name": "Drama"}]	2007-10-14	128	7.3	394
21 Grams	60427839	20000000	[{"id": 18, "name": "Drama"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	2003-09-06	124	7.2	918
Paparazzi	16605763	20000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2004-09-03	84	5.8	52
A Guy Thing	17432163	20000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2003-01-17	101	5.3	83
Loser	0	0	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}, {"id": 10751, "name": "Family"}]	2000-07-21	98	5	120
Capitalism: A Love Story	17436509	20000000	[{"id": 99, "name": "Documentary"}]	2009-09-06	120	7	167
The Greatest Story Ever Told	15473333	20000000	[{"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}]	1965-02-15	199	6.5	41
Secret in Their Eyes	34854990	19500000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}]	2015-10-14	111	6.2	336
Disaster Movie	14109284	25000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}]	2008-08-29	87	3	240
Armored	22942221	20000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2009-12-04	88	5.5	208
The Man Who Knew Too Little	13801755	20000000	[{"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}, {"id": 28, "name": "Action"}]	1997-11-14	97	6.5	125
What's Your Number?	30426096	20000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2011-09-30	106	6.2	671
Lockout	32204030	20000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2012-04-12	95	5.8	715
Envy	0	40000000	[{"id": 35, "name": "Comedy"}]	2004-04-30	99	4.8	139
Crank: High Voltage	34560577	20000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2009-04-16	96	5.9	861
Bullets Over Broadway	0	0	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}]	1994-10-14	98	7	130
One Night with the King	13391174	20000000	[{"id": 18, "name": "Drama"}]	2006-10-13	123	6.1	12
The Quiet American	27674124	30000000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 10749, "name": "Romance"}]	2002-11-22	101	6.4	81
The Weather Man	12482775	20000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2005-10-20	101	6	289
Undisputed	12398628	20000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2002-08-23	96	6.1	139
Ghost Town	0	0	[{"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}, {"id": 10749, "name": "Romance"}]	2008-09-19	102	6.4	286
12 Rounds	17280326	20000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2009-03-19	108	5.7	220
Let Me In	24145613	20000000	[{"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}]	2010-10-01	116	6.7	641
3 Ninjas Kick Back	0	0	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	1994-05-06	93	4.5	48
Be Kind Rewind	0	0	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}]	2008-01-20	102	6.2	424
Mrs Henderson Presents	0	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2005-09-09	103	6.4	62
Triple 9	12639297	20000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	2016-02-19	115	5.6	797
Deconstructing Harry	10686841	20000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	1997-08-26	96	7.3	187
Three to Tango	0	20000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	1999-10-22	98	5.4	62
Burnt	36606743	20000000	[{"id": 18, "name": "Drama"}]	2015-10-02	100	6.3	950
We're No Angels	0	20000000	[{"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	1989-12-15	106	5.6	105
Everyone Says I Love You	0	20000000	[{"id": 10402, "name": "Music"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	1996-12-06	101	6.5	147
Death Sentence	16974459	20000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2007-08-31	105	6.5	297
Everybody's Fine	0	21000000	[{"id": 18, "name": "Drama"}]	2009-12-04	99	6.5	284
Superbabies: Baby Geniuses 2	9109322	0	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2004-08-27	88	1.9	35
The Man	12382362	0	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}]	2005-09-08	83	5.4	133
Code Name: The Cleaner	10337477	20000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}]	2007-01-05	84	4.7	78
Connie and Carla	11341016	20000000	[{"id": 35, "name": "Comedy"}]	2004-04-16	98	6.4	24
Sweet Charity	20000000	8000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10402, "name": "Music"}, {"id": 10749, "name": "Romance"}]	1969-01-01	149	6.5	15
Inherent Vice	11110975	20000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}]	2014-12-25	148	6.5	833
Doogal	0	0	[{"id": 10751, "name": "Family"}]	2006-02-24	85	3.2	18
Battle of the Year	16549477	20000000	[{"id": 10402, "name": "Music"}, {"id": 18, "name": "Drama"}]	2013-09-21	110	5.9	88
An American Carol	7000000	20000000	[{"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}]	2008-10-03	83	4.1	20
Machete Kills	15008161	12000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	2013-09-12	107	5.3	631
Willard	0	22000000	[{"id": 27, "name": "Horror"}]	2003-03-14	100	5.8	82
Strange Wilderness	6575282	0	[{"id": 35, "name": "Comedy"}]	2008-02-01	87	4.7	69
Topsy-Turvy	0	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10402, "name": "Music"}]	1999-09-03	160	6.7	41
Little Boy	6420319	20000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10752, "name": "War"}]	2015-04-23	106	7	185
A Dangerous Method	27462041	15000000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2011-09-30	99	6.2	571
A Scanner Darkly	7659918	8700000	[{"id": 16, "name": "Animation"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2006-05-25	100	6.8	532
Chasing Mavericks	0	0	[{"id": 18, "name": "Drama"}]	2012-10-25	117	7	216
Alone in the Dark	10442808	20000000	[{"id": 28, "name": "Action"}, {"id": 14, "name": "Fantasy"}, {"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	2005-01-28	96	3.1	173
Bandslam	5210988	20000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}, {"id": 10402, "name": "Music"}]	2009-08-06	111	5.4	126
Birth	0	20000000	[{"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2004-09-08	100	5.9	179
A Most Violent Year	12007070	20000000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2014-12-30	125	6.5	546
Passchendaele	0	0	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}, {"id": 10752, "name": "War"}, {"id": 36, "name": "History"}]	2008-10-17	114	6.3	26
Flash of Genius	0	0	[{"id": 18, "name": "Drama"}]	2008-09-07	119	6.3	59
I'm Not There.	4001121	20000000	[{"id": 18, "name": "Drama"}, {"id": 10402, "name": "Music"}]	2007-10-01	135	6.6	195
The Cold Light of Day	16863583	20000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	2012-04-04	93	4.8	271
The Brothers Bloom	5530764	20000000	[{"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2008-09-09	114	6.8	203
Synecdoche, New York	0	21000000	[{"id": 18, "name": "Drama"}]	2008-10-24	124	7.4	278
Princess Mononoke	159375308	26500000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 16, "name": "Animation"}]	1997-07-12	134	8.2	1983
Bon voyage	0	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10769, "name": "Foreign"}]	2003-04-16	114	5.7	20
Can't Stop the Music	0	0	[{"id": 35, "name": "Comedy"}, {"id": 10402, "name": "Music"}]	1980-06-20	124	4.9	9
The Proposition	5048693	2000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}, {"id": 37, "name": "Western"}]	2005-10-06	104	7.1	218
My All American	0	20000000	[{"id": 18, "name": "Drama"}]	2015-11-13	118	6.8	36
Marci X	1675706	20000000	[{"id": 35, "name": "Comedy"}]	2003-08-22	84	3.3	12
Equilibrium	5359645	20000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2002-12-06	107	6.9	1552
The Children of Huang Shi	7400000	40000000	[{"id": 18, "name": "Drama"}, {"id": 10752, "name": "War"}]	2008-07-03	125	6.5	52
The Yards	0	0	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2000-04-27	115	6	97
The Oogieloves in the Big Balloon Adventure	0	0	[{"id": 10751, "name": "Family"}]	2012-08-29	88	2.2	8
By the Sea	3727746	10000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2015-11-12	122	5.4	156
Steamboy	0	20000000	[{"id": 16, "name": "Animation"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	2004-07-17	126	6.4	102
The Game of Their Lives	0	0	[{"id": 18, "name": "Drama"}]	2005-01-01	101	5.8	14
All Good Things	0	0	[{"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}, {"id": 10749, "name": "Romance"}]	2010-12-03	101	5.9	286
Rapa Nui	305070	20000000	[{"id": 12, "name": "Adventure"}]	1994-09-09	107	6.2	33
CJ7	47301471	0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	2008-01-30	86	6.1	107
The Visitors II: The Corridors of Time	0	0	[{"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}]	1998-02-11	118	5.8	221
Dylan Dog: Dead of Night	4634062	20000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2011-03-16	107	4.5	139
People I Know	0	20000000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2002-11-21	100	5.5	48
The Tempest	346594	20000000	[{"id": 18, "name": "Drama"}, {"id": 14, "name": "Fantasy"}]	2010-12-10	110	6	31
Regression	17671101	0	[{"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2015-10-01	106	5.3	585
Three Kingdoms: Resurrection of the Dragon	0	0	[{"id": 28, "name": "Action"}, {"id": 36, "name": "History"}, {"id": 18, "name": "Drama"}]	2008-04-03	102	6.6	35
Butterfly on a Wheel	0	20000000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2007-07-27	95	6.3	130
Zambezia	0	20000000	[{"id": 35, "name": "Comedy"}, {"id": 16, "name": "Animation"}, {"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}]	2012-06-05	83	5.3	68
Ramanujan	0	0	[{"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}]	2014-07-11	170	5	3
Dwegons	0	0	[{"id": 16, "name": "Animation"}]	2014-01-24	98	0.5	1
Hands of Stone	0	20000000	[{"id": 18, "name": "Drama"}]	2016-08-26	105	6.1	109
Survivor	0	20000000	[{"id": 53, "name": "Thriller"}]	2015-05-21	96	5.4	404
The Frozen Ground	5496951	27220000	[{"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2013-07-18	105	6.1	465
The Painted Veil	0	19400000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2006-12-09	125	7.1	312
The Baader Meinhof Complex	0	27000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}, {"id": 53, "name": "Thriller"}]	2008-09-24	150	7.1	157
Dances with Wolves	424208848	22000000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 37, "name": "Western"}]	1990-11-09	181	7.6	1046
Bad Teacher	216197492	20000000	[{"id": 35, "name": "Comedy"}]	2011-05-16	92	5.4	1584
Sea of Love	110879513	19000000	[{"id": 18, "name": "Drama"}, {"id": 80, "name": "Crime"}, {"id": 9648, "name": "Mystery"}]	1989-09-15	113	6.7	141
A Cinderella Story	70067909	19000000	[{"id": 35, "name": "Comedy"}]	2004-07-10	95	6.1	713
Scream	173046663	14000000	[{"id": 80, "name": "Crime"}, {"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}]	1996-12-20	111	7	1476
Thir13en Ghosts	0	0	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	2001-10-26	91	5.4	440
The Shining	44017374	19000000	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]	1980-05-22	144	8.1	3757
Back to the Future	381109762	19000000	[{"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 878, "name": "Science Fiction"}, {"id": 10751, "name": "Family"}]	1985-07-03	116	8	6079
House on Haunted Hill	40846082	19000000	[{"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	1999-10-29	93	5.5	209
I Can Do Bad All By Myself	0	0	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}]	2009-09-11	113	6	40
Fight Valley	0	27000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}]	2016-07-22	90	3.9	8
The Switch	49830607	19000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}, {"id": 18, "name": "Drama"}]	2010-05-11	101	5.9	583
Just Married	101564935	18000000	[{"id": 35, "name": "Comedy"}]	2003-01-09	95	5.3	404
The Devil's Double	5728213	19100000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}, {"id": 10752, "name": "War"}]	2011-02-11	109	6.5	208
Thomas and the Magic Railroad	0	0	[{"id": 16, "name": "Animation"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}, {"id": 878, "name": "Science Fiction"}]	2000-07-26	85	4.6	8
The Crazies	54956140	20000000	[{"id": 9648, "name": "Mystery"}, {"id": 27, "name": "Horror"}, {"id": 28, "name": "Action"}]	2010-02-26	101	6.2	633
Spirited Away	274925095	15000000	[{"id": 14, "name": "Fantasy"}, {"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2001-07-20	125	8.3	3840
Firestorm	0	0	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}]	2013-12-12	110	5.9	43
The Bounty	8613462	25000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}]	1984-05-04	132	6.5	108
The Book Thief	76586316	0	[{"id": 18, "name": "Drama"}]	2013-11-08	131	7.4	1486
Sex Drive	18755936	19000000	[{"id": 35, "name": "Comedy"}, {"id": 12, "name": "Adventure"}, {"id": 10749, "name": "Romance"}]	2008-10-16	109	6	342
Leap Year	29922472	19000000	[{"id": 10749, "name": "Romance"}, {"id": 35, "name": "Comedy"}]	2010-01-08	100	6.4	465
The Fall of the Roman Empire	4750000	19000000	[{"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}]	1964-03-24	188	6	33
Take Me Home Tonight	6928068	19000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2011-03-04	97	6.2	208
Won't Back Down	5310554	0	[{"id": 18, "name": "Drama"}]	2012-09-28	121	5.8	40
The Nutcracker	2119994	19000000	[{"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}, {"id": 10402, "name": "Music"}]	1993-11-24	93	5.6	5
Kansas City	0	18000000	[{"id": 53, "name": "Thriller"}, {"id": 18, "name": "Drama"}, {"id": 10402, "name": "Music"}, {"id": 80, "name": "Crime"}]	1996-08-16	116	6.1	12
Indignation	0	0	[{"id": 18, "name": "Drama"}]	2016-07-29	110	6.8	69
The Amityville Horror	108047131	19000000	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}, {"id": 18, "name": "Drama"}]	2005-04-15	90	6	588
Adaptation.	32801173	19000000	[{"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	2002-12-06	114	7.3	638
Land of the Dead	46770602	15000000	[{"id": 27, "name": "Horror"}]	2005-06-24	93	6	381
Out of Inferno	0	0	[{"id": 28, "name": "Action"}]	2013-03-10	107	5.8	11
Fear and Loathing in Las Vegas	10680275	18500000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}]	1998-05-22	118	7.2	1301
The Invention of Lying	31912793	18500000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}, {"id": 14, "name": "Fantasy"}]	2009-09-13	100	6	518
Neighbors	268157400	18000000	[{"id": 35, "name": "Comedy"}]	2014-05-08	96	6.2	2713
The Mask	351583407	23000000	[{"id": 10749, "name": "Romance"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 14, "name": "Fantasy"}]	1994-07-29	101	6.6	2472
